id,retweet_count,date_created,tweet
1511012952589180937,1,2022-04-04 16:08:55+00:00,b'PRESIDENT RAMAPHOSA TO ADDRESS THE NATION \n\nPresident Cyril Ramaphosa will address the nation at 20h00 this evening\xe2\x80\xa6 https://t.co/1sx8YMWssj'
1511012933966438410,3284,2022-04-04 16:08:51+00:00,b'RT @spectatorindex: Unemployment rate.\n\nSouth Africa: 35.3%\nSpain: 13.3%\nTurkey: 11.4%\nBrazil: 11.2%\nItaly: 8.5%\nFrance: 7.4%\nArgentina: 7%\xe2\x80\xa6'
1511012921979150338,0,2022-04-04 16:08:48+00:00,"b'@edmnangagwa Zimbabwe , Zambia ,Malawi and Mozambique must form an alliance outside SADC which continues to benefit\xe2\x80\xa6 https://t.co/bVuY9jPr45'"
1511012920259497991,3780,2022-04-04 16:08:48+00:00,"b'RT @AfricaFactsZone: Black Coffee, a South African DJ has won the Grammy for the Best Dance/Electronic Music Album for his album, Subconsci\xe2\x80\xa6'"
1511012915393929218,104,2022-04-04 16:08:46+00:00,"b""RT @Gab_H_R: BA.2* + S:L452R Mutation in South Africa\n\nIt's growing fast \xf0\x9f\x98\xb3\n\n_\nH/T @RajlabN https://t.co/0zaiZTXn9T"""
1511012901603229700,3717,2022-04-04 16:08:43+00:00,b'RT @thisha_omuhle: You\xe2\x80\x99re not careless with money or bad at budgeting. The cost of living in South Africa is genuinely absurd.'
1511012894527434753,0,2022-04-04 16:08:41+00:00,"b'@DawnsMission FJB in his support of the ANC regime (Mandela), demonized the Afrikaner community.  America..... come\xe2\x80\xa6 https://t.co/AC335sToun'"
1511012885010743299,1410,2022-04-04 16:08:39+00:00,"b'RT @DrEricDing: Watching\xe2\x80\x94South Africa\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 may have a new subvariant, 66% dominant\xe2\x80\x94the BA2+L452R group is a #BA2 subtype that mixes with an in\xe2\x80\xa6'"
1511012868371660814,18,2022-04-04 16:08:35+00:00,"b'RT @SABCNews: The price of petrol will increase from Midnight on Wednesday, April 6, 2022. The Department of Mineral and Energy has announc\xe2\x80\xa6'"
1511012839896539140,1,2022-04-04 16:08:28+00:00,b'@Delegatexvp @SundaeDivine @POTUS Born in South Africa. Go fish.'
1511012837375852549,3,2022-04-04 16:08:28+00:00,b'RT @CashNSport: Question To Football Fans\n\nHow much do you think the average professional footballer earns monthly (weekly wages are a myth\xe2\x80\xa6'
1511012837166043140,12,2022-04-04 16:08:28+00:00,b'RT @infor_anton: Still there Mosselbay Diaz stadiom rugby cricket all sports @4KobusWiese @Soundsenz best view in South Africa. A rated cle\xe2\x80\xa6'
1511012836306300938,192,2022-04-04 16:08:28+00:00,b'RT @IanCameron23: What has Malema ever given to the poor in South Africa that is actually constructive?'
1511012834083315714,115,2022-04-04 16:08:27+00:00,b'RT @KeletsoMss: South Africa my country https://t.co/1bttXwJgUV'
1511012822863519750,0,2022-04-04 16:08:24+00:00,"b'See y\xe2\x80\x99all at @skaapstadCountrySundays Sunday, 10 April @12:00\n\nJoin me and get your tickets:\xe2\x80\xa6 https://t.co/zRB4SEya1q'"
